call_id,route,destination,status,duration_seconds,pdd_seconds,rbt_status,sip_code
1,UK_1,United Kingdom,ANSWERED,120,2.4,OK,200
2,UK_1,United Kingdom,ANSWERED,95,2.7,OK,200
3,UK_1,United Kingdom,ANSWERED,60,2.3,OK,200
4,UK_1,United Kingdom,NO_ANSWER,0,3.1,OK,408
5,UK_1,United Kingdom,ANSWERED,180,2.5,OK,200
6,UK_1,United Kingdom,BUSY,0,3.0,OK,486

7,DE_1,Germany,ANSWERED,1,1.8,OK,200
8,DE_1,Germany,ANSWERED,2,2.0,OK,200
9,DE_1,Germany,ANSWERED,1,1.9,OK,200
10,DE_1,Germany,FAILED,0,4.5,MISSING,503
11,DE_1,Germany,NO_ANSWER,0,4.8,MISSING,408
12,DE_1,Germany,ANSWERED,2,2.1,OK,200

13,FR_1,France,FAILED,0,6.5,MISSING,503
14,FR_1,France,NO_ANSWER,0,7.0,MISSING,408
15,FR_1,France,ANSWERED,30,6.8,MISSING,200
16,FR_1,France,FAILED,0,6.9,MISSING,503
17,FR_1,France,NO_ANSWER,0,7.2,MISSING,408
18,FR_1,France,ANSWERED,25,6.6,MISSING,200

19,IT_1,Italy,ANSWERED,70,3.0,OK,200
20,IT_1,Italy,ANSWERED,85,3.2,OK,200
21,IT_1,Italy,FAILED,0,4.9,OK,503
22,IT_1,Italy,NO_ANSWER,0,4.5,OK,408
23,IT_1,Italy,ANSWERED,65,3.1,OK,200
24,IT_1,Italy,BUSY,0,4.2,OK,486
